"author_id","author_name"
"20600","Alan B Rothman"
"10555","Alan Ball"
"10102","Alan Barnes"
"7229","Alan Bennett"
"19213","Alan Blinder"
"2868","Alan Brown"
"8497","Alan Brownjohn"
"20349","Alan Burton"
"3889","Alan Butler"
"10393","Alan Carr"
"430","Alan Crossley"
"9116","Alan Cutler"
"20533","Alan Dessen"
"4854","Alan Dundes"
"14750","Alan E Clements"
"4794","Alan E. Douglas"
"12388","Alan F. Segal"
"15625","Alan G Gross"
"6746","Alan G. Gross"
"11882","Alan Gewirth"
"11288","Alan Godfrey"
"18026","Alan Gordon"
"16069","Alan Gorton"
"17505","Alan Haehnel"
"5031","Alan Harrison"
"18526","Alan Hindley"
"11379","Alan Hustak"
"12556","Alan J W Bell"
"15365","Alan Jacobs"
"2633","Alan Jenkins"
"10623","Alan K. Engen"
"6750","Alan Kay"
"20763","Alan Leather"
"9414","Alan Liu"
"13791","Alan M. Dershowitz"
"7898","Alan M. Weinberg"
"18767","Alan Maley"
"8809","Alan Marshall"
"7631","Alan Mikhail"
"553","Alan Miller"
"4892","Alan Musgrave"
"9340","Alan P. Lightman"
"5098","Alan Peacock"
"11899","Alan Pope"
"13490","Alan Pritchard"
"7866","Alan Purves"
"7114","Alan R Bagg"
"12571","Alan Race"
"8661","Alan Ramsey"
"2984","Alan Riach"
"1262","Alan Richardson"
"10504","Alan Root"
"768","Alan Royle"
"12265","Alan Rutkowski"
"6923","Alan Schonberger"
"17986","Alan Shelley"
"10176","Alan Simpson"
"13746","Alan Snow"
"8133","Alan Steinfeld"
"9699","Alan Stevens"
"17728","Alan Stockwell"
"17942","Alan Strachan"
"15409","Alan Stuttle"
"9896","Alan Sugar"
"9221","Alan T. Bull"
"9722","Alan Titchmarsh"
"2991","Alan Toner"
"1242","Alan Wakefield"
"2828","Alan Watts"
"9770","Alan Whicker"
"17821","Alan Zweibel"
"10660","Alana Johns"
"8999","Alanna Jones"
"14135","Alanna Moore"
"15002","Alasdair MacIntyre"
"4263","Alastair Hannay"
"19603","Alastair McIntosh"
"13873","Albero, Miguel"
"11107","Albert Asensio"
"979","Albert Camus"
"2123","Albert Einstein"
"5540","Albert Espinosa"
"1191","Albert G Mackey"
"10920","Albert Gelpi"
"20667","Albert Huntington Chester"
"19266","Albert Jack"
"708","Albert Moran"
"17077","Albert N Pergande"
"1377","Albert Newton Raub"
"1953","Albert Norman Gooding"
"2765","Albert Ortmann"
"2504","Albert Rabil Jr."
"136","Albert S Rosales"
"4742","Albert Van Helden"
"2806","Alberto Andujar"
"8472","Alberto Arce"
"17480","Alberto Beniscelli"
"18768","Alberto Bustos"
"13667","Alberto De Tagle"
"3375","Alberto Madrona Fernandez"
"16245","Alberto Manguel"
"9213","Alberto Salinas Jr."
"16248","Alberto Savinio"
"6920","Albion Press"
"2779","Albrecht Greule"
"20340","Alec Charles"
"1884","Alec Ryrie"
"10281","Aled Jones"
"13278","Alejandra Arroyo"
"15975","Alejandro Alcaraz Sintes"
"13585","Alejandro Alvarado"
"12929","Alejandro Ariel González"
"12705","Alejandro Noguera"
"1622","Alejandro Parra"
"6287","Alejandro Serralde"
"1459","Alejandro del Río Herrmann"
"12472","Aleksander Albov"
"13870","Aleksander Fiut"
"13273","Aleksandra Piechnik-Kaszuba"
"16107","Alena Amato Ruggerio"
"16435","Alenoush Saroyan"
"13207","Alessandra Bartolotti"
"7432","Alessandra Celletti"
"1949","Alessandra Giorgi"
"20482","Alessandro Barrico"
"2606","Alessandro Benati"
"13351","Alessandro Leogrande"
"19884","Alessandro Orsini"
"11827","Alessandro Sancino"
"8777","Alex Alsina"
"13795","Alex Bender"
"8581","Alex Boese"
"1841","Alex Calder"
"19908","Alex Csiszar"
"18114","Alex Dumas"
"7580","Alex G Smith"
"63","Alex G. Paman"
"5345","Alex Grijelmo"
"19183","Alex Housen"
"20749","Alex Houstoun"
"6341","Alex Jung"
"8977","Alex Klinge"
"11878","Alex Kooistra"
"11768","Alex Langlands"
"20886","Alex Matsuo"
"3316","Alex McFarland"
"5213","Alex Metcalfe"
"13534","Alex Monaldo"
"18536","Alex Oates"
"5475","Alex Rosenberg"
"1542","Alex Ross"
"5942","Alex Salkever"
"13369","Alex Tizon"
"12031","Alex Trost"
"18734","Alex Vilenkin"
"9263","Alex Welsh"
"109","Alex Wild"
"10918","Alex Williams"
"211","Alex Wilson"
"16539","Alex Woodcock"
"7389","Alex Zurdo"
"18535","Alexa Alice Joubin"
"16692","Alexa Keating"
"4738","Alexander Bell"
"1817","Alexander Boxer"
"17144","Alexander Craig Sellar"
"18377","Alexander Dow"
"18607","Alexander Guy Holborn Spiers"
"6896","Alexander Hislop"
"524","Alexander Jumbo"
"11574","Alexander Khantaev"
"15988","Alexander Lasch"
"12066","Alexander Macbain"
"17831","Alexander Matthews"
"2985","Alexander Moffat"
"19090","Alexander Norman"
"3764","Alexander Pollatsek"
"16955","Alexander Pope"
"7894","Alexander Pushkin"
"13806","Alexander R. Pruss"
"13005","Alexander Schmemann"
"17164","Alexander Soumarokove"
"20276","Alexander Thomson"
"6438","Alexander Tokar"
"17852","Alexander Wollcott"
"15989","Alexander Ziem"
"2549","Alexander of Aphrodisias"
"6962","Alexander von Humboldt"
"13849","Alexandr Zaytsev"
"8250","Alexandra Aikhenvald"
"7251","Alexandra Alexander"
"5399","Alexandra Andrews"
"18848","Alexandra C. Klaren"
"208","Alexandra Dittmann"
"16988","Alexandra F. Johnston"
"1222","Alexandra Holzer"
"8915","Alexandra Jurasin"
"8488","Alexandra Pierce"
"16141","Alexandra S Radcliff"
"16525","Alexandra Walsham"
"3553","Alexandra Y. Aikhenvald"
"17044","Alexandre Chatrian"
"8396","Alexandre Ern"
"20013","Alexandre Fachard"
"17241","Alexandre Manceau"
"5071","Alexandre Mauroy"
"16120","Alexandru Ionescu"
"15338","Alexi K Hartwell"
"4710","Alexis Burakoff"
"14967","Alexis Niki"
"6495","Aleya Serour"
"8998","Alfie Kohn"
"3544","Alfonso De Salvio"
"6512","Alfonso Reyes"
"17649","Alfred Bate Richards"
"17919","Alfred De Musset"
"9362","Alfred F Young"
"18354","Alfred Gilmeiden Arvold"
"14200","Alfred Hix Welsh"
"13982","Alfred I. Tauber"
"8340","Alfred J. Freddoso"
"7165","Alfred John Wyatt"
"17575","Alfred Kreymborg"
"5908","Alfred L. Ivry"
"8717","Alfred Marozzi"
"18238","Alfred Noe"
"6608","Alfred P. Wilson"
"20821","Alfred Pugsley"
"4796","Alfred Russel Wallace"
"1307","Alfred S. Posamentier"
"10228","Alfred Shaughnessy"
"18311","Alfred Sutro"
"18454","Alfred W Pollard"
"1053","Alfred Worden"
"2682","Alfredo D Chac N"
"2683","Alfredo D Chacaon"
"2681","Alfredo D Chacon"
"19867","Alfredo Floristan"
"9390","Alfredo Johnson"
"15865","Ali Nomad"
"4853","Ali Rahnema"
"7979","Ali Ross"
"1696","Ali Shehata"
"9829","Ali Vincent"
"5014","Alice A Bailey"
"4718","Alice Berman"
"17862","Alice Corbin Sies"
"7017","Alice F. Artzt"
"14456","Alice Feiring"
"17531","Alice Gerstenberg"
"8927","Alice Gorman"
"3427","Alice Healy Sesno"
"20304","Alice Hunt"
"14633","Alice Huntington Bushee"
"7846","Alice Leeds"
"13594","Alice Leppert"
"20354","Alice Lock"
"4624","Alice Major"
"15301","Alice Nazarian"
"7991","Alice O'Brien"
"18038","Alice O'Grady"
"1127","Alice O. Howell"
"14618","Alice Perrin"
"16916","Alice Pung"
"15977","Alice Savage"
"14406","Alice Sterling Honig"
"13356","Alice Whitney"
"12003","Alice-Mary Talbot"
"8237","Alicia Casado"
"4789","Alicia Christensen"
"12339","Alicia Cummings"
"18995","Alicia Curtin"
"15141","Alicia Dugar Stephenson"
"14640","Alicia Helps"
"9173","Alicia Holland"
"7045","Alicia Negron-Mendoza"
"20508","Alicia Ostriker"
"6870","Alicja Lukawska"
"16896","Alina Das"
"1561","Alina Reyes"
"8489","Alisa Krasnostein"
"20074","Alisa Solomon"
"9835","Alison Arngrim"
"7816","Alison Bashford"
"9746","Alison Bowyer"
"9628","Alison Castle"
"2200","Alison Chapman"
"12142","Alison Clary"
"9483","Alison E. Woodward"
"5682","Alison Gibbons"
"6314","Alison Henderson"
"11651","Alison Heron-Hruby"
"16840","Alison Holmes"
"1321","Alison L. Dubois"
"10320","Alison Maloney"
"19545","Alison Miller"
"19745","Alison Reynolds"
"6467","Alison Robins"
"3730","Alison Winter"
"20434","Alison Wylie"
"16758","Alistair Begg"
"11802","Alistair W Donaldson"
"14766","Alister Chapman"
"6597","Alister E. McGrath"
"13255","Alister McGrath"
"9387","Aliya Atalay"
"4204","Alka Pande"
"957","All Star Sport Publishing"
"8062","Allan Aquino"
"12812","Allan B. Wolter"
"10208","Allan Bednar"
"1687","Allan C. Ornstein"
"13657","Allan Chapman"
"11752","Allan Edwards"
"1341","Allan Gotthelf"
"20265","Allan Hawke"
"3443","Allan Hepburn"
"186","Allan Kardec"
"3075","Allan Kelly"
"2181","Allan Martin"
"4280","Allan Muir"
"7501","Allan Odden"
"1101","Allan Ornstein"
"13074","Allan V. Horwitz"
"16202","Allan Wade"
"5961","Allegra Cattani"
"16394","Allen Ascher"
"18744","Allen Carr"
"11555","Allen D. Hertzke"
"13531","Allen David Young Phd"
"8728","Allen Esterson"
"15808","Allen Everett"
"7180","Allen French"
"10030","Allen Funt"
"10400","Allen Glover"
"13541","Allen Greenfield"
"4332","Allen J. Moore"
"9351","Allen Lacy"
"20970","Allen O'Bannon"
"9328","Allen S. Weiss"
"8504","Allena Douglas-Brathwaite"
"4546","Allene Symons"
"16501","Alli Mang"
"13576","Allison Alexy"
"8738","Allison B. Kaufman"
"5940","Allison Bemiss"
"15066","Allison Boothe Trigg"
"7779","Allison Gertridge"
"17701","Allison P. Hobgood"
"14533","Allison Perlman"
"12495","Allison Posey"
"12548","Allmaps Canada Limited"
"9267","Allsport UK Limited"
"4435","Ally Kennen"
"10116","Ally Molloy"
"12701","Alma Guillermoprieto"
"16810","Alma Lilia Fuentes-Farias"
"7244","Alma Roehling"
"11504","Almqvist & Wiksell"
"3516","Alon Ziv"
"19704","Alonzo Reed"
"1426","Alphabet Tracing"
"9240","Alphonse Goettmann"
"14492","Alphonso Wetmore"
"2822","Alternating Current"
"12382","Alton Brown"
"11741","Alton Fry Jr"
"16711","Alun Gibbard"
"20128","Alvin Boyd Kuhn"
"1018","Alvin Goldfarb"
"2522","Alvin Kernan"
"16183","Alvin M. Weinberg"
"8698","Alvyn Pettersen"
"19410","Alwyn Morton"
"13971","Alwyn Scarth"
"9596","Alwyn W Turner"
"9639","Alwyn W. Turner"
"6835","Alyce C. LeBlanc"
"13653","Alyn G. Mcfarland"
"13316","Alyson Simpson"
"11494","Alyson Warhurst"
"19267","Am Olivier"
"1663","Am Sports"
"6337","Amalia Estrada"
"14943","Amanda Ann Klein"
"10933","Amanda Betts"
"1091","Amanda Clark"
"18147","Amanda Di Ponio"
"12075","Amanda French"
"9736","Amanda Holden"
"12859","Amanda Jones"
"17279","Amanda Martin"
"16438","Amanda Mayeaux"
"18852","Amanda Nell Edgar"
"8487","Amanda Rainey"
"16216","Amanda Terman"
"14949","Amanda Wrigley"
"9165","Amanda Yuill"
"19127","Amateur Hockey Association of the U. S."
"1851","Amb Promise Ogbonna"
"8688","Amber Cantorna"
"15483","Amber E. George"
"4832","Amber J. Rose"
"7058","Amber K"
"8460","Amber M. Shipherd"
"19384","Amber S. Bismack"
"13533","Amber Sadler"
"6318","Amber Swinney"
"1955","Amelia Cotter"
"7336","Amelia Cristina Mamani Huanca"
"17322","Amelia Lehmann Pain"
"20850","Amelia Perez de Villar"
"5977","Amelia Peterson"
"15566","Amelia S. Simpson"
"5541","America Ferrera"
"15067","American Academy of Pediatrics"
"6219","American Alpine Club"
"14072","American Automobile Association"
"1628","American Coaching Effectiveness Program"
"944","American Map Corporation"
"5683","American Political Science Association"
"19020","American Society for Theatre Research"
"14512","Americana Jon Abbott"
"16243","Americo Castro"
"1482","Amia Srinivasan"
"8354","Amihai Mazar"
"13872","Amin Maalouf"
"8350","Amin Saikal"
"13993","Amir  D. Aczel"
"15617","Amir Alexander"
"20433","Amir D. Aczel"
"16088","Amir Hetsroni"
"12856","Amir Hossein Ahooie"
"15599","Amira K. Bennison"
"2203","Amiri Baraka"
"1424","Amit Chaudhuri"
"6881","Amma Jane Stevens"
"19246","Ammiel Alcalay"
"1182","Amnon Kabatchnik"
"3467","Amoakoh Gyasi-Agyei"
"5938","Amos Funkenstein"
"19404","Amos M Judson"
"6047","Amos Yong"
"12860","Amr M El-Zawawy"
"1534","Amrith Barran"
"874","Amy Antonellis"
"20733","Amy Asch"
"16870","Amy Benjamin"
"18232","Amy Bryzgel"
"11096","Amy Chambless"
"4396","Amy Clampitt"
"4195","Amy Dooling"
"11072","Amy E. Sofka"
"9326","Amy Farrell"
"12328","Amy Fusselman"
"1839","Amy Gelbart"
"8622","Amy Grincewicz"
"8950","Amy Gutmann"
"15884","Amy Hackney Blackwell"
"18340","Amy Herzog"
"10428","Amy Hohn"
"18091","Amy J. Rodgers"
"19979","Amy MacDonald"
"17950","Amy McColl"
"9041","Amy Newmark"
"12553","Amy Pascale"
"14050","Amy Petulla"
"12726","Amy Plantinga Pauw"
"12231","Amy Ransom"
"19546","Amy Richards Franzini"
"10528","Amy Rickman"
"20541","Amy Rogers Schwartzreich"
"1189","Amy Roth McDuffie"
"18865","Amy Shojai"
"3437","Amy Shulman Weinberg"
"7749","Amy Simmons"
"11954","Amy Sohn"
"5707","Amy Sutherland"
"1109","Amy Tan"
"3563","Amy V. Fountain"
"8631","Amy Vetter"
"696","Amy Villarejo"
"11934","Amy Wright"
"2421","Amy-Jill Levine"
"400","An Indian Official"
"15497","Ana  Casas Janices"
"7193","Ana Benda"
"9349","Ana Castillo"
"6115","Ana Chiquito"
"6436","Ana Goldar"
"3378","Ana I Ojea Lopez"
"5363","Ana Momplet Chico"
"4962","Ana Oskoz"
"18199","Ana Raquel Fernandes"
"8450","Ana Rodriguez"
"1545","Ana Silvia Lara"
"8836","Ana Tamarit Amieva"
"14454","Ana Vian Herrero"
"13844","Ana-Maria Cozma"
"18328","Anabel Campo Vidal"
"3722","Anabela Carvalho"
"16071","Anael"
"17615","Ananda Breed"
"8089","Ananda K Coomaraswamy"
"20800","Ananda K. Coomaraswamy"
"10883","Anastasia Efklides"
"10914","Anastasia P. Samaras"
"6326","Anastasia Valassopoulos"
"1237","Anat Zohar"
"4369","Anchal Verma"
"18857","Ande Davis"
"4205","Ander Monson"
"6071","Anders Engberg-Pedersen"
"17047","Anders Lustgarten"
"6084","Anders Sandberg"
"3668","Anders Winroth"
"18825","Anderson Andrews"
"5622","Andi Arndt"
"12376","Andi Dorfman"
"3446","Andre Butzer"
"14962","Andre Cavalcante"
"5693","Andre Porquet"
"14092","Andre Reyes Novaes"
"17376","Andre Theuriet"
"2904","Andre Trocme"
"6555","Andre Van Der Braak"
"19562","Andrea Chlebcova Heckova"
"12266","Andrea D. Sims"
"14439","Andrea Dini"
"10045","Andrea Evans"
"18619","Andrea Gouveia"
"14755","Andrea Janelle Dickens"
"5963","Andrea Krott"
"14596","Andrea Kruse"
"875","Andrea Kukulka"
"16506","Andrea Leigh Wolf"
"20691","Andrea Louise Ambler"
"1466","Andrea M. Guillaume"
"18966","Andrea M. Honigsfeld"
"5681","Andrea MacRae"
"2837","Andrea Mills"
"9655","Andrea Robinson"
"5484","Andrea Sand"
"4927","Andrea Tyler"
"6532","Andrea Vicini"
"7690","Andrea Zanzotto"
"16602","Andrea de Leeuw Van Weenen"
"7325","Andreas Altmann"
"2136","Andreas Dufter"
"2474","Andreas H. Jucker"
"13790","Andreas Harsono"
"3994","Andreas Kathol"
"19327","Andreas Kinneging"
"18159","Andreas Klaeui"
"12474","Andreas Kuck"
"3547","Andreas Larsson"
"16931","Andreas Munch"
"9131","Andreas Nolda"
"16780","Andrei Younis"
"9278","Andrej Vladimirovich Epimakhov"
"10600","Andres Sanchez Pascual"
"16968","Andres Vicente"
"8624","Andrew A. Tawfik"
"2586","Andrew Bailey"
"20819","Andrew Barry"
"4475","Andrew Beards"
"1301","Andrew Bennett"
"1348","Andrew Bernstein"
"20569","Andrew Billings"
"17690","Andrew Biss"
"5840","Andrew Blauner"
"12669","Andrew Brodie"
"9529","Andrew Brown"
"13280","Andrew Bruckfield"
"16023","Andrew Burn"
"19571","Andrew C Billings"
"199","Andrew C. Holman"
"15953","Andrew C. Scott"
"5613","Andrew Carey"
"12269","Andrew Carstairs-McCarthy"
"10262","Andrew Cartmel"
"8208","Andrew Clennel Palmer"
"11","Andrew Collins"
"5834","Andrew Crozier"
"6036","Andrew David Naselli"
"11350","Andrew Duggan"
"1508","Andrew Ede"
"10384","Andrew Eiden"
"2401","Andrew F. March"
"9774","Andrew Farago"
"1938","Andrew Feenberg"
"3621","Andrew Ferguson"
"3263","Andrew Forge"
"20817","Andrew Frinkle"
"16713","Andrew Fullen"
"19200","Andrew Furco"
"14723","Andrew G Robbins"
"4675","Andrew Gabriel Roth"
"6360","Andrew Glendinning"
"10379","Andrew Goodwin"
"19222","Andrew Goodwyn"
"10240","Andrew Graham"
"20862","Andrew Graham - Yooll"
"13692","Andrew H. Churchill"
"4993","Andrew Hadfield"
"4634","Andrew Hamer"
"9928","Andrew Hickey"
"2670","Andrew Hind"
"19967","Andrew Hobbs"
"242","Andrew Hobson"
"4776","Andrew Hock-Soon Ng"
"15873","Andrew Holland"
"1387","Andrew J Rickoff"
"2217","Andrew J. Ekonomou"
"15021","Andrew J. Petto"
"654","Andrew Jackson Davis"
"2356","Andrew Keen"
"20060","Andrew Killick"
"19539","Andrew Knight-Hill"
"13002","Andrew Koppelman"
"1158","Andrew Lang"
"9526","Andrew Latimer"
"20332","Andrew Lee Fielding"
"19480","Andrew Leland"
"12779","Andrew Linzey"
"16777","Andrew Louth"
"13727","Andrew M Boylan"
"17266","Andrew Mackay"
"2160","Andrew McIntyre"
"7743","Andrew Morton"
